时间,欧元兑美元
1979-07-19,1.456
1979-07-20,1.4461
1979-07-23,1.4522
1979-07-24,1.4537
1979-07-25,1.4493
1979-07-26,1.4455
1979-07-27,1.4466
1979-07-30,1.4405
1979-07-31,1.4368
1979-08-01,1.4409
1979-08-02,1.4416
1979-08-03,1.4378
1979-08-06,1.4407
1979-08-07,1.4411
1979-08-08,1.4409
1979-08-09,1.4449
1979-08-10,1.4453
1979-08-13,1.443
1979-08-14,1.4391
1979-08-15,1.4384
1979-08-16,1.4424
1979-08-17,1.4378
1979-08-20,1.4386
1979-08-21,1.4386
1979-08-22,1.4397
1979-08-23,1.4399
1979-08-24,1.4416
1979-08-28,1.4393
1979-08-29,1.4391
1979-08-30,1.4438
1979-08-31,1.4424
1979-09-03,1.4428
1979-09-04,1.4432
1979-09-05,1.4453
1979-09-06,1.4505
1979-09-07,1.4524
1979-09-10,1.4565
1979-09-11,1.4524
1979-09-12,1.4537
1979-09-13,1.4514
1979-09-14,1.4505
1979-09-17,1.4514
1979-09-18,1.4533
1979-09-19,1.4539
1979-09-20,1.4786
1979-09-21,1.4791
1979-09-24,1.4775
1979-09-25,1.4765
1979-09-26,1.4762
1979-09-27,1.493
1979-09-28,1.4952
1979-10-01,1.4968
1979-10-02,1.4859
1979-10-03,1.4846
1979-10-04,1.4786
1979-10-05,1.48
1979-10-08,1.4537
1979-10-09,1.4497
1979-10-10,1.4622
1979-10-11,1.4648
1979-10-12,1.4573
1979-10-15,1.4556
1979-10-16,1.4526
1979-10-17,1.4522
1979-10-18,1.4529
1979-10-19,1.4533
1979-10-22,1.451
1979-10-23,1.4457
1979-10-24,1.4508
1979-10-25,1.4508
1979-10-26,1.448
1979-10-29,1.443
1979-10-30,1.4451
1979-10-31,1.4478
1979-11-01,1.4514
1979-11-02,1.4533
1979-11-05,1.4571
1979-11-06,1.4497
1979-11-07,1.4582
1979-11-08,1.4552
1979-11-09,1.4533
1979-11-12,1.4505
1979-11-13,1.4512
1979-11-14,1.4605
1979-11-15,1.4603
1979-11-16,1.4661
1979-11-19,1.4706
1979-11-20,1.4734
1979-11-21,1.4795
1979-11-22,1.4758
1979-11-23,1.4754
1979-11-26,1.4817
1979-11-27,1.4793
1979-11-28,1.4837
1979-11-29,1.489
1979-11-30,1.497
1979-12-03,1.5133
1979-12-04,1.5017
1979-12-05,1.4859
1979-12-06,1.4914
1979-12-07,1.483
1979-12-10,1.4828
1979-12-11,1.4932
1979-12-12,1.495
1979-12-13,1.4966
1979-12-14,1.491
1979-12-17,1.4945
1979-12-18,1.4968
1979-12-19,1.4997
1979-12-20,1.4988
1979-12-21,1.4959
1979-12-24,1.5013
1979-12-27,1.5074
1979-12-28,1.5076
1979-12-31,1.5081
1980-01-02,1.5149
1980-01-03,1.5177
1980-01-04,1.5129
1980-01-07,1.5168
1980-01-08,1.5108
1980-01-09,1.5161
1980-01-10,1.5133
1980-01-11,1.5108
1980-01-14,1.511
1980-01-15,1.5047
1980-01-16,1.5074
1980-01-17,1.5074
1980-01-18,1.5083
1980-01-21,1.5053
1980-01-22,1.5006
1980-01-23,1.5035
1980-01-24,1.5026
1980-01-25,1.5004
1980-01-28,1.4993
1980-01-29,1.4979
1980-01-30,1.4986
1980-01-31,1.4945
1980-02-01,1.4919
1980-02-04,1.4923
1980-02-05,1.4952
1980-02-06,1.4993
1980-02-07,1.4977
1980-02-08,1.4948
1980-02-11,1.4979
1980-02-12,1.4966
1980-02-13,1.5004
1980-02-14,1.5011
1980-02-15,1.497
1980-02-18,1.4957
1980-02-19,1.4899
1980-02-20,1.491
1980-02-21,1.4903
1980-02-22,1.4813
1980-02-25,1.4791
1980-02-26,1.4791
1980-02-27,1.4782
1980-02-28,1.48
1980-02-29,1.4689
1980-03-03,1.4628
1980-03-04,1.4588
1980-03-05,1.4596
1980-03-06,1.451
1980-03-07,1.4508
1980-03-10,1.444
1980-03-11,1.4422
1980-03-12,1.4436
1980-03-13,1.4341
1980-03-14,1.4219
1980-03-17,1.3935
1980-03-18,1.3933
1980-03-19,1.3959
1980-03-20,1.4008
1980-03-21,1.393
1980-03-24,1.3856
1980-03-25,1.3818
1980-03-26,1.3845
1980-03-27,1.3663
1980-03-28,1.362
1980-03-31,1.3492
1980-04-01,1.3339
1980-04-02,1.3463
1980-04-03,1.3405
1980-04-08,1.3446
1980-04-09,1.3837
1980-04-10,1.3824
1980-04-11,1.3906
1980-04-14,1.397
1980-04-15,1.3793
1980-04-16,1.3998
1980-04-17,1.4037
1980-04-18,1.4104
1980-04-21,1.4085
1980-04-22,1.4031
1980-04-23,1.4263
1980-04-24,1.4331
1980-04-25,1.4358
1980-04-28,1.4461
1980-04-29,1.4449
1980-04-30,1.4426
1980-05-01,1.443
1980-05-02,1.431
1980-05-06,1.4495
1980-05-07,1.4524
1980-05-08,1.4468
1980-05-09,1.4362
1980-05-12,1.4478
1980-05-13,1.447
1980-05-14,1.4495
1980-05-15,1.4495
1980-05-16,1.447
1980-05-19,1.4438
1980-05-20,1.442
1980-05-21,1.4535
1980-05-22,1.4539
1980-05-23,1.4603
1980-05-27,1.4725
1980-05-28,1.4676
1980-05-29,1.4663
1980-05-30,1.4646
1980-06-02,1.4631
1980-06-03,1.4637
1980-06-04,1.4669
1980-06-05,1.4667
1980-06-06,1.4669
1980-06-09,1.4754
1980-06-10,1.4754
1980-06-11,1.4721
1980-06-12,1.4734
1980-06-13,1.4808
1980-06-16,1.4738
1980-06-17,1.4695
1980-06-18,1.4747
1980-06-19,1.4706
1980-06-20,1.471
1980-06-23,1.4723
1980-06-24,1.4704
1980-06-25,1.4706
1980-06-26,1.4719
1980-06-27,1.4723
1980-06-30,1.4741
1980-07-01,1.4745
1980-07-02,1.4769
1980-07-03,1.4767
1980-07-04,1.481
1980-07-07,1.4894
1980-07-08,1.4941
1980-07-09,1.4923
1980-07-10,1.4905
1980-07-11,1.4908
1980-07-14,1.4885
1980-07-15,1.4852
1980-07-16,1.4877
1980-07-17,1.4928
1980-07-18,1.485
1980-07-21,1.4897
1980-07-22,1.4928
1980-07-23,1.4919
1980-07-24,1.4957
1980-07-25,1.4932
1980-07-28,1.4908
1980-07-29,1.4806
1980-07-30,1.4697
1980-07-31,1.4605
1980-08-01,1.4531
1980-08-04,1.4575
1980-08-05,1.4643
1980-08-06,1.4693
1980-08-07,1.4611
1980-08-08,1.4599
1980-08-11,1.4592
1980-08-12,1.4607
1980-08-13,1.462
1980-08-14,1.4571
1980-08-15,1.4569
1980-08-18,1.4463
1980-08-19,1.4459
1980-08-20,1.448
1980-08-21,1.4468
1980-08-22,1.4405
1980-08-26,1.4411
1980-08-27,1.4436
1980-08-28,1.4512
1980-08-29,1.4466
1980-09-01,1.452
1980-09-02,1.4584
1980-09-03,1.4586
1980-09-04,1.4614
1980-09-05,1.4571
1980-09-08,1.4594
1980-09-09,1.459
1980-09-10,1.4582
1980-09-11,1.4603
1980-09-12,1.4577
1980-09-15,1.4541
1980-09-16,1.4541
1980-09-17,1.4565
1980-09-18,1.4493
1980-09-19,1.4449
1980-09-22,1.4386
1980-09-23,1.4351
1980-09-24,1.4449
1980-09-25,1.4447
1980-09-26,1.438
1980-09-29,1.4325
1980-09-30,1.4341
1980-10-01,1.4366
1980-10-02,1.4343
1980-10-03,1.4341
1980-10-06,1.442
1980-10-07,1.438
1980-10-08,1.4391
1980-10-09,1.4384
1980-10-10,1.4389
1980-10-13,1.4368
1980-10-14,1.431
1980-10-15,1.4241
1980-10-16,1.4219
1980-10-17,1.4138
1980-10-20,1.4019
1980-10-21,1.3996
1980-10-22,1.3965
1980-10-23,1.3998
1980-10-24,1.3967
1980-10-27,1.3885
1980-10-28,1.3797
1980-10-29,1.385
1980-10-30,1.3774
1980-10-31,1.3734
1980-11-03,1.3635
1980-11-04,1.365
1980-11-05,1.3481
1980-11-06,1.345
1980-11-07,1.3383
1980-11-10,1.3656
1980-11-11,1.3826
1980-11-12,1.3751
1980-11-13,1.3757
1980-11-14,1.3672
1980-11-17,1.3503
1980-11-18,1.3594
1980-11-19,1.3656
1980-11-20,1.3594
1980-11-21,1.3548
1980-11-24,1.357
1980-11-25,1.358
1980-11-26,1.3532
1980-11-27,1.3503
1980-11-28,1.3499
1980-12-01,1.3425
1980-12-02,1.3401
1980-12-03,1.3425
1980-12-04,1.3405
1980-12-05,1.3301
1980-12-08,1.3271
1980-12-09,1.3179
1980-12-10,1.306
1980-12-11,1.2913
1980-12-12,1.3017
1980-12-15,1.3156
1980-12-16,1.2932
1980-12-17,1.3024
1980-12-18,1.305
1980-12-19,1.3106
1980-12-22,1.3247
1980-12-23,1.338
1980-12-24,1.3373
1980-12-29,1.328
1980-12-30,1.3335
1980-12-31,1.3275
1981-01-02,1.3154
1981-01-05,1.3382
1981-01-06,1.3435
1981-01-07,1.3399
1981-01-08,1.3245
1981-01-09,1.3205
1981-01-12,1.3154
1981-01-13,1.3004
1981-01-14,1.306
1981-01-15,1.3016
1981-01-16,1.2905
1981-01-19,1.2984
1981-01-20,1.2969
1981-01-21,1.3075
1981-01-22,1.2902
1981-01-23,1.2852
1981-01-26,1.2707
1981-01-27,1.2641
1981-01-28,1.2552
1981-01-29,1.2481
1981-01-30,1.2349
1981-02-02,1.2318
1981-02-03,1.2152
1981-02-04,1.2315
1981-02-05,1.2226
1981-02-06,1.2177
1981-02-09,1.2209
1981-02-10,1.2158
1981-02-11,1.214
