时间,沪深300:成交金额
2006-08-29,205.585983
2006-08-30,129.945825
2006-08-31,139.32001
2006-09-01,148.322519
2006-09-04,124.703736
2006-09-05,159.596696
2006-09-06,137.996041
2006-09-07,130.549996
2006-09-08,101.577939
2006-09-11,128.392856
2006-09-12,157.872581
2006-09-13,187.017512
2006-09-14,136.795178
2006-09-15,195.946291
2006-09-18,181.876229
2006-09-19,159.428603
2006-09-20,140.172398
2006-09-21,160.261315
2006-09-22,181.731695
2006-09-25,154.938037
2006-09-26,119.537588
2006-09-27,108.978058
2006-09-28,140.708539
2006-09-29,173.476401
2006-10-09,237.622506
2006-10-10,240.247479
2006-10-11,185.92012
2006-10-12,210.48271
2006-10-13,167.70804
2006-10-16,173.412898
2006-10-17,151.51116
2006-10-18,150.154053
2006-10-19,144.411809
2006-10-20,165.266481
2006-10-23,177.107761
2006-10-24,161.512325
2006-10-25,211.771507
2006-10-26,213.002944
2006-10-27,214.961894
2006-10-30,198.74455
2006-10-31,214.636175
2006-11-01,235.184291
2006-11-02,247.579636
2006-11-03,233.192841
2006-11-06,252.216782
2006-11-07,278.9455
2006-11-08,191.403079
2006-11-09,222.830381
2006-11-10,319.311853
2006-11-13,251.762221
2006-11-14,220.293083
2006-11-15,261.355691
2006-11-16,341.273085
2006-11-17,269.504444
2006-11-20,329.906145
2006-11-21,326.285795
2006-11-22,380.65264
2006-11-23,314.74406
2006-11-24,323.980449
2006-11-27,320.578184
2006-11-28,295.029748
2006-11-29,308.95012
2006-11-30,398.690476
2006-12-01,410.452211
2006-12-04,469.475808
2006-12-05,472.557746
2006-12-06,533.832915
2006-12-07,513.880115
2006-12-08,419.802412
2006-12-11,331.693586
2006-12-12,387.02468
2006-12-13,331.543912
2006-12-14,333.239309
2006-12-15,369.57408
2006-12-18,465.301677
2006-12-19,489.698217
2006-12-20,397.453597
2006-12-21,434.377708
2006-12-22,348.707818
2006-12-25,419.515751
2006-12-26,391.069002
2006-12-27,389.616893
2006-12-28,452.243282
2006-12-29,557.163883
2007-01-04,823.810726
2007-01-05,680.260602
2007-01-08,663.039361
2007-01-09,654.561927
2007-01-10,688.226248
2007-01-11,687.300118
2007-01-12,617.428304
2007-01-15,570.434537
2007-01-16,678.434342
2007-01-17,800.089018
2007-01-18,698.949729
2007-01-19,735.388735
2007-01-22,818.704881
2007-01-23,928.128724
2007-01-24,802.77494
2007-01-25,772.417203
2007-01-26,732.756757
2007-01-29,795.448594
2007-01-30,734.85013
2007-01-31,719.450327
2007-02-01,575.781011
2007-02-02,535.351121
2007-02-05,423.580101
2007-02-06,612.065026
2007-02-07,662.033434
2007-02-08,583.675041
2007-02-09,513.02934
2007-02-12,517.09437
2007-02-13,482.278649
2007-02-14,584.622679
2007-02-15,674.156883
2007-02-16,715.97577
2007-02-26,709.816123
2007-02-27,1011.027556
2007-02-28,771.482461
2007-03-01,742.995782
2007-03-02,542.220995
2007-03-05,630.717545
2007-03-06,502.613141
2007-03-07,576.232398
2007-03-08,539.076215
2007-03-09,679.330451
2007-03-12,604.381975
2007-03-13,620.611918
2007-03-14,665.819395
2007-03-15,632.667785
2007-03-16,747.770245
2007-03-19,729.436611
2007-03-20,617.414824
2007-03-21,683.693156
2007-03-22,860.362777
2007-03-23,763.044904
2007-03-26,777.961012
2007-03-27,840.183947
2007-03-28,1121.460819
2007-03-29,1132.334363
2007-03-30,665.369693
2007-04-02,766.805079
2007-04-03,870.918531
2007-04-04,884.560712
2007-04-05,851.955984
2007-04-06,930.495721
2007-04-09,1062.187935
2007-04-10,1197.02216
2007-04-11,1242.189231
2007-04-12,1184.341123
2007-04-13,1297.283607
2007-04-16,1127.065942
2007-04-17,1338.234258
2007-04-18,1292.422525
2007-04-19,1438.303216
2007-04-20,1186.20475
2007-04-23,1375.834377
2007-04-24,1494.122985
