时间,沪深300指数:涨跌幅
2003-10-22,2.515422
2003-10-23,-0.790836
2003-10-24,-0.321672
2003-10-27,-0.84015
2003-10-28,0.022027
2003-10-29,-0.661711
2003-10-30,-1.106103
2003-10-31,0.073641
2003-11-03,1.067184
2003-11-04,1.93043
2003-11-05,-0.546208
2003-11-06,-1.755534
2003-11-07,-1.35327
2003-11-10,0.385042
2003-11-11,0.077886
2003-11-12,-1.76609
2003-11-13,0.220507
2003-11-14,0.761009
2003-11-17,-0.370086
2003-11-18,-1.363937
2003-11-19,1.577618
2003-11-20,2.830561
2003-11-21,-1.210045
2003-11-24,2.879506
2003-11-25,0.344548
2003-11-26,0.323219
2003-11-27,-1.666025
2003-11-28,0.612402
2003-12-01,2.23382
2003-12-02,-0.008986
2003-12-03,0.348082
2003-12-04,0.527434
2003-12-05,-0.169006
2003-12-08,-1.039722
2003-12-09,0.416514
2003-12-10,1.316968
2003-12-11,-0.003545
2003-12-12,-0.128901
2003-12-15,0.132448
2003-12-16,-0.533818
2003-12-17,-0.758518
2003-12-18,0.34077
2003-12-19,-0.831517
2003-12-22,2.732546
2003-12-23,0.472129
2003-12-24,0.936823
2003-12-25,-0.269975
2003-12-26,-0.044415
2003-12-29,-0.766969
2003-12-30,0.654073
2003-12-31,-1.023446
2004-01-02,0.826035
2004-01-05,2.976392
2004-01-06,0.859999
2004-01-07,1.209542
2004-01-08,1.427028
2004-01-09,-1.396206
2004-01-12,2.232933
2004-01-13,-0.115858
2004-01-14,-1.177172
2004-01-15,-0.339995
2004-01-16,0.838557
2004-01-29,2.153008
2004-01-30,-2.333402
2004-02-02,2.023906
2004-02-03,1.050206
2004-02-04,2.10962
2004-02-05,0.369719
2004-02-06,-0.489714
2004-02-09,1.604785
2004-02-10,-0.422182
2004-02-11,-0.609877
2004-02-12,-0.671047
2004-02-13,-0.246942
2004-02-16,2.306801
2004-02-17,0.514454
2004-02-18,0.796166
2004-02-19,-0.386458
2004-02-20,0.369198
2004-02-23,-2.289995
2004-02-24,-0.215194
2004-02-25,-1.981252
2004-02-26,0.482985
2004-02-27,1.178789
2004-03-01,1.132279
2004-03-02,-0.272146
2004-03-03,-1.612316
2004-03-04,0.64367
2004-03-05,-0.599327
2004-03-08,-1.823131
2004-03-09,-0.237532
2004-03-10,2.345364
2004-03-11,0.955696
2004-03-12,0.049417
2004-03-15,2.29383
2004-03-16,0.409376
2004-03-17,0.190058
2004-03-18,-1.849334
2004-03-19,1.560165
2004-03-22,0.429042
2004-03-23,-0.716659
2004-03-24,-0.298376
2004-03-25,0.035225
2004-03-26,0.044377
2004-03-29,-1.065795
2004-03-30,0.025443
2004-03-31,0.940564
2004-04-01,0.843205
2004-04-02,0.664885
2004-04-05,-0.280813
2004-04-06,0.603294
2004-04-07,-0.117269
2004-04-08,-0.426115
2004-04-09,-2.316486
2004-04-12,-0.408312
2004-04-13,-0.795131
2004-04-14,-1.606923
2004-04-15,-0.992662
2004-04-16,0.927322
2004-04-19,-1.43342
2004-04-20,-0.832011
2004-04-21,-0.878651
2004-04-22,0.5258
2004-04-23,-1.552565
2004-04-26,0.050301
2004-04-27,-0.987119
2004-04-28,-0.492904
2004-04-29,-1.948316
2004-04-30,0.496109
2004-05-10,-2.6727
2004-05-11,0.496359
2004-05-12,2.263035
2004-05-13,-0.438543
2004-05-14,-2.212659
2004-05-17,-0.999949
2004-05-18,1.206504
2004-05-19,-0.00248
2004-05-20,-0.650309
2004-05-21,0.624109
