时间,沪深300指数:涨跌点数
2006-02-22,-0.931
2006-02-23,3.488
2006-02-24,8.071
2006-02-27,-1.599
2006-02-28,5.165
2006-03-01,3.609
2006-03-02,-17.953
2006-03-03,3.011
2006-03-06,-2.804
2006-03-07,-23.9
2006-03-08,-5.702
2006-03-09,-4.927
2006-03-10,4.553
2006-03-13,10.967
2006-03-14,-1.592
2006-03-15,10.686
2006-03-16,-1.342
2006-03-17,-3.601
2006-03-20,13.644
2006-03-21,3.098
2006-03-22,6.909
2006-03-23,0.871
2006-03-24,-5.936
2006-03-27,8.106
2006-03-28,5.275
2006-03-29,9.312
2006-03-30,-9.66
2006-03-31,5.454
2006-04-03,18.234
2006-04-04,10.049
2006-04-05,10.599
2006-04-06,3.267
2006-04-07,-0.083
2006-04-10,14.756
2006-04-11,5.398
2006-04-12,-6.235
2006-04-13,-23.148
2006-04-14,24.682
2006-04-17,5.807
2006-04-18,6.867
2006-04-19,6.96
2006-04-20,-3.86
2006-04-21,14.777
2006-04-24,-6.46
2006-04-25,-0.768
2006-04-26,13.796
2006-04-27,-0.458
2006-04-28,17.079
2006-05-08,46.098
2006-05-09,33.166
2006-05-10,14.322
2006-05-11,-10.898
2006-05-12,41.222
2006-05-15,55.898
2006-05-16,-21.028
2006-05-17,4.396
2006-05-18,-4.322
2006-05-19,34.896
2006-05-22,7.577
2006-05-23,-56.02
2006-05-24,-9.412
2006-05-25,-0.545
2006-05-26,23.323
2006-05-29,35.272
2006-05-30,12.464
2006-05-31,-13.305
2006-06-01,37.428
2006-06-02,-12.763
2006-06-05,13.047
2006-06-06,-4.021
2006-06-07,-78.909
2006-06-08,5.746
2006-06-09,-31.794
2006-06-12,3.485
2006-06-13,0.606
2006-06-14,-14.396
2006-06-15,1.505
2006-06-16,32.625
2006-06-19,16.883
2006-06-20,3.33
2006-06-21,-4.691
2006-06-22,-1.979
2006-06-23,7.893
2006-06-26,23.967
2006-06-27,0.483
2006-06-28,-1.011
2006-06-29,32.239
2006-06-30,-1.161
2006-07-03,26.365
2006-07-04,-9.315
2006-07-05,-18.004
2006-07-06,25.666
2006-07-07,-8.246
2006-07-10,1.695
2006-07-11,6.451
2006-07-12,0.624
2006-07-13,-73.111
2006-07-14,11.041
2006-07-17,15.125
2006-07-18,1.162
2006-07-19,-36.772
2006-07-20,8.55
2006-07-21,10.839
2006-07-24,2.089
2006-07-25,16.048
2006-07-26,-2.875
2006-07-27,-15.75
2006-07-28,-14.152
2006-07-31,-47.065
2006-08-01,-12.271
2006-08-02,-6.969
2006-08-03,-3.344
2006-08-04,-29.836
2006-08-07,-17.806
2006-08-08,28.284
2006-08-09,-1.088
2006-08-10,20.175
2006-08-11,4.181
2006-08-14,-29.933
2006-08-15,20.142
2006-08-16,17.704
2006-08-17,-11.94
2006-08-18,-3.761
2006-08-21,2.696
2006-08-22,14.706
2006-08-23,0.412
2006-08-24,6.721
2006-08-25,3.036
2006-08-28,30.457
2006-08-29,4.261
2006-08-30,4.516
2006-08-31,4.023
2006-09-01,-20.595
2006-09-04,19.144
2006-09-05,3.439
2006-09-06,5.685
2006-09-07,-17.99
2006-09-08,3.776
