时间,中国:沪深300:资金净主动买入额
2011-11-23,-46.816347
2011-11-24,-0.291467
2011-11-25,-35.112078
2011-11-28,-5.098846
2011-11-29,21.701982
2011-11-30,-89.552177
2011-12-01,7.680424
2011-12-02,-29.689023
2011-12-05,-21.632923
2011-12-06,-2.868232
2011-12-07,2.159088
2011-12-08,-2.296222
2011-12-09,-20.726057
2011-12-12,-23.07448
2011-12-13,-17.807098
2011-12-14,-12.505933
2011-12-15,-23.49988
2011-12-16,-0.330419
2011-12-19,-14.191671
2011-12-20,-7.863731
2011-12-21,-35.354105
2011-12-22,7.54421
2011-12-23,8.110187
2011-12-26,-29.987949
2011-12-27,-24.099234
2011-12-28,6.925638
2011-12-29,-1.657333
2011-12-30,3.215819
2012-01-04,-46.291147
2012-01-05,-14.12554
2012-01-06,3.719606
2012-01-09,36.925581
2012-01-10,55.437146
2012-01-11,-6.50247
2012-01-12,-12.39101
2012-01-13,-30.040076
2012-01-16,-30.490901
2012-01-17,63.177468
2012-01-18,-53.362051
2012-01-19,36.994496
2012-01-20,28.527451
2012-01-30,-59.112388
2012-01-31,-5.553224
2012-02-01,-46.707712
2012-02-02,42.643963
2012-02-03,16.455012
2012-02-06,-21.682869
2012-02-07,-55.396258
2012-02-08,65.995207
2012-02-09,-20.54297
2012-02-10,-12.332948
2012-02-13,0.756126
2012-02-14,-39.847005
2012-02-15,22.677752
2012-02-16,-75.21549
2012-02-17,-12.748483
2012-02-20,-37.826178
2012-02-21,11.067571
2012-02-22,35.491312
2012-02-23,-14.198355
2012-02-24,48.400465
2012-02-27,3.633883
2012-02-28,17.960752
2012-02-29,-46.738336
2012-03-01,-18.02664
2012-03-02,35.283765
2012-03-05,-82.471814
2012-03-06,-66.343156
2012-03-07,-39.292936
2012-03-08,4.043156
2012-03-09,15.199663
2012-03-12,-62.171822
2012-03-13,15.990945
2012-03-14,-76.486809
2012-03-15,-25.727322
2012-03-16,0.601095
2012-03-19,-24.994037
2012-03-20,-74.479234
2012-03-21,-21.96288
2012-03-22,-32.763622
2012-03-23,-54.282717
2012-03-26,-15.677551
2012-03-27,-19.025792
2012-03-28,-59.076786
2012-03-29,-22.358635
2012-03-30,-5.892633
2012-04-05,5.000262
2012-04-06,-25.689139
2012-04-09,-30.376971
2012-04-10,-1.792349
2012-04-11,2.660729
2012-04-12,50.623807
2012-04-13,0.06827
2012-04-16,-6.917806
2012-04-17,-39.586476
2012-04-18,72.254528
2012-04-19,-27.716824
2012-04-20,34.119075
2012-04-23,-37.786192
2012-04-24,-6.893182
2012-04-25,17.062751
