时间,沪深300:成交量
2007-08-20,67.812204
2007-08-21,74.440593
2007-08-22,74.028925
2007-08-23,68.051882
2007-08-24,73.769875
2007-08-27,82.631454
2007-08-28,75.066789
2007-08-29,72.929456
2007-08-30,67.29849
2007-08-31,66.780357
2007-09-03,82.849166
2007-09-04,79.914832
2007-09-05,65.364902
2007-09-06,70.608574
2007-09-07,79.29888
2007-09-10,65.095672
2007-09-11,68.80669
2007-09-12,61.572253
2007-09-13,59.746929
2007-09-14,60.295626
2007-09-17,69.403132
2007-09-18,71.62181
2007-09-19,55.880065
2007-09-20,56.712136
2007-09-21,61.106356
2007-09-24,54.184817
2007-09-25,45.32623
2007-09-26,39.171156
2007-09-27,33.759056
2007-09-28,48.51462
2007-10-08,66.449703
2007-10-09,53.63349
2007-10-10,63.994455
2007-10-11,65.141101
2007-10-12,78.001064
2007-10-15,70.682111
2007-10-16,64.692049
2007-10-17,48.869768
2007-10-18,48.59563
2007-10-19,38.466457
2007-10-22,35.867499
2007-10-23,41.8968
2007-10-24,44.661238
2007-10-25,50.821706
2007-10-26,35.895965
2007-10-29,35.233977
2007-10-30,39.193921
2007-10-31,50.329469
2007-11-01,46.612479
2007-11-02,43.2895
2007-11-05,33.695018
2007-11-06,27.057854
2007-11-07,30.061349
2007-11-08,36.054893
2007-11-09,34.583826
2007-11-12,38.413922
2007-11-13,36.862079
2007-11-14,35.231542
2007-11-15,31.759464
2007-11-16,23.310991
2007-11-19,25.548101
2007-11-20,33.562714
2007-11-21,26.803122
2007-11-22,26.507716
2007-11-23,20.146305
2007-11-26,23.622276
2007-11-27,20.88684
2007-11-28,22.482368
2007-11-29,36.87299
2007-11-30,29.383696
2007-12-03,22.255934
2007-12-04,22.643592
2007-12-05,31.769165
2007-12-06,23.711591
2007-12-07,27.198223
2007-12-10,42.780691
2007-12-11,40.586457
2007-12-12,39.828251
2007-12-13,36.81959
2007-12-14,30.727925
2007-12-17,37.014522
2007-12-18,22.930076
2007-12-19,32.101858
2007-12-20,31.319917
2007-12-21,37.251494
2007-12-24,50.319967
2007-12-25,38.973705
2007-12-26,41.468115
2007-12-27,52.345018
2007-12-28,45.361415
2008-01-02,45.66871
2008-01-03,64.645878
2008-01-04,51.74642
2008-01-07,53.485409
2008-01-08,64.899501
2008-01-09,46.796872
2008-01-10,64.229893
2008-01-11,56.167079
2008-01-14,49.84601
2008-01-15,50.886608
2008-01-16,55.774469
2008-01-17,61.936933
2008-01-18,43.913005
2008-01-21,47.833617
2008-01-22,60.772692
2008-01-23,55.776385
2008-01-24,56.605987
2008-01-25,47.142108
2008-01-28,41.425283
2008-01-29,29.062256
2008-01-30,34.098976
2008-01-31,30.85258
2008-02-01,35.125528
2008-02-04,40.953145
2008-02-05,32.796356
2008-02-13,21.475659
2008-02-14,19.837789
2008-02-15,24.262601
2008-02-18,30.590078
2008-02-19,36.176965
2008-02-20,39.557722
2008-02-21,33.403616
2008-02-22,37.918627
2008-02-25,33.652001
2008-02-26,33.27639
2008-02-27,29.592393
2008-02-28,25.398171
2008-02-29,23.350858
2008-03-03,39.258411
2008-03-04,45.129777
2008-03-05,39.417993
2008-03-06,44.402268
2008-03-07,28.690945
2008-03-10,31.780355
2008-03-11,26.276592
2008-03-12,27.145644
2008-03-13,34.451307
2008-03-14,23.427885
2008-03-17,28.180961
2008-03-18,34.523751
